MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
Sangre en la boca,(2016),"
Drama, Sport            ",5.6,"
Ramón Alvia is a professional boxer who, although he has won several international championships, is old and is at the end of his career. He resists. In the gym, Ramon discovers among the young boxers Deborah, a beautiful girl.","
    Director:
Hernán Belón
| 
    Stars:
Leonardo Sbaraglia, 
Eva De Dominici, 
Érica Bianchi, 
Osmar Núñez
",647,97.0,
Return to Sender,(I) (2015),"
Drama, Thriller            ",5.1,"
A nurse living in small town goes on a blind date with a man who is not the person he says he is.","
    Director:
Fouad Mikati
| 
    Stars:
Rosamund Pike, 
Shiloh Fernandez, 
Nick Nolte, 
Camryn Manheim
","12,670",92.0,
O Vendedor de Sonhos,(2016),"
Drama            ",5.8,"
A disillusioned psychologist tries to commit suicide until he strikes up a friendship with an unlikely savior who teaches him a new way of living.","
    Directors:
Jayme Monjardim, 
Luca Bueno
| 
    Stars:
César Troncoso, 
Dan Stulbach, 
Dani Antunes, 
Nelson Baskeville
","1,191",98.0,
Into the Forest,(2015),"
Drama, Thriller            ",5.8,"
After a massive power outage, two sisters learn to survive on their own in their isolated woodland home.","
    Director:
Patricia Rozema
| 
    Stars:
Elliot Page, 
Evan Rachel Wood, 
Max Minghella, 
Callum Keith Rennie
","19,853",101.0,$0.01M
Lethal Seduction,(2015),"
Thriller            ",5.1,"
High-school senior Mark has never minded his overprotective widowed mother Tanya and is a good son to her as he prepares to go off to Princeton in the fall. One day, he goes to a hardware ...                See full summary »
","
    Director:
Nancy Leopardi
| 
    Stars:
Caleb Ruminer, 
Amanda Detmer, 
Dina Meyer, 
Brian Thomas Smith
",824,80.0,
Moesha,(1996–2001),"
Comedy, Drama, Family            ",5.8,"
A teenager struggles to come to terms with everything life throws at her.","
            
    Stars:
Brandy Norwood, 
William Allen Young, 
Marcus T. Paulk, 
Lamont Bentley
","3,430",30.0,
De nærmeste,(2015),"
Drama            ",5.6,"
Two half-siblings who grew up apart, meet for the first time as adults and fall in love.","
    Director:
Anne Sewitsky
| 
    Stars:
Ine Marie Wilmann, 
Simon J. Berger, 
Anneke von der Lippe, 
Silje Storstein
","1,192",106.0,
Sniper: Assassin's End,(2020 Video),"
Action, Thriller            ",5.4,"
Legendary sniper Thomas Beckett and his son, Special Ops Sniper Brandon Beckett, are on the run from the CIA, Russian Mercenaries, and a Yakuza-trained assassin with sniper skills that rival both legendary sharp shooters.","
    Director:
Kaare Andrews
| 
    Stars:
Chad Michael Collins, 
Sayaka Akimoto, 
Tom Berenger, 
Ryan Robbins
","1,649",95.0,
Big Game,(2014),"
Action, Adventure            ",5.4,"
A young teenager camping in the woods helps rescue the President of the United States when Air Force One is shot down near his campsite.","
    Director:
Jalmari Helander
| 
    Stars:
Samuel L. Jackson, 
Onni Tommila, 
Ray Stevenson, 
Victor Garber
","31,914",90.0,$0.02M
Clinical,(2017),"
Horror, Thriller            ",5.1,"
A psychiatrist tries to put her life back together after a violent attack by seeking to repair the life of a new patient, but he has his own terrifying history.","
    Director:
Alistair Legrand
| 
    Stars:
Vinessa Shaw, 
Kevin Rahm, 
India Eisley, 
Aaron Stanford
","7,392",104.0,
D-Tox,(2002),"
Crime, Thriller            ",5.3,"
A lead detective being stalked by a serial killer is asked to check into a clinic treating law enforcement officials who can't face their jobs.","
    Director:
Jim Gillespie
| 
    Stars:
Sylvester Stallone, 
Charles S. Dutton, 
Polly Walker, 
Kris Kristofferson
","25,639",96.0,$0.08M
Down a Dark Hall,(2018),"
Drama, Fantasy, Horror            ",5.1,"
A troubled teen named Kit Gordy is forced to join the exclusive Blackwood Boarding School, just to find herself trapped by dark forces around its mysterious headmistress, Madame Duret.","
    Director:
Rodrigo Cortés
| 
    Stars:
AnnaSophia Robb, 
Uma Thurman, 
Isabelle Fuhrman, 
Victoria Moroles
","12,631",96.0,
Small Crimes,(2017),"
Crime, Drama, Thriller            ",5.8,"
A disgraced former cop, fresh off a six-year prison sentence for attempted murder - returns home looking for redemption but winds up trapped in the mess he left behind.","
    Director:
E.L. Katz
| 
    Stars:
Nikolaj Coster-Waldau, 
Robert Forster, 
Jacki Weaver, 
Molly Parker
","7,416",95.0,
PJ Masks,(2015–2021),"
Animation, Action, Adventure            ",5.5,"
When young friends Connor, Amaya, and Greg put on their pajamas and activate their animal amulets, they turn into their alter egos: Catboy, Owlette, and Gekko as they embark on adventures that are filled with action.","
            
    Stars:
Addison Holley, 
Kyle Breitkopf, 
Juan Luis Bonilla, 
Brianna Daguanno
","1,024",24.0,
Curon,(2020),"
Drama, Fantasy, Horror            ",5.8,"
A woman returns to her childhood home in northern Italy, which triggers terrifying hauntings.","
            
    Stars:
Luca Lionello, 
Federico Russo, 
Margherita Morchio, 
Anna Ferzetti
","3,586",,
The Princess Switch: Switched Again,(2020),"
Comedy, Drama, Family            ",5.4,"
When Duchess Margaret unexpectedly inherits the throne to Montenaro and hits a rough patch with Kevin, it's up to her double Stacy to save the day before a new lookalike, party girl Fiona foils their plans.","
    Director:
Mike Rohl
| 
    Stars:
John Jack, 
Vanessa Hudgens, 
Sam Palladio, 
Mark Fleischmann
","8,340",96.0,
Jue di tao wang,(2016),"
Action, Adventure, Comedy            ",5.7,"
A detective from Hong Kong teams up with an American gambler to battle against a notorious Chinese criminal.","
    Director:
Renny Harlin
| 
    Stars:
Jackie Chan, 
Johnny Knoxville, 
Bingbing Fan, 
Eric Tsang
","19,872",107.0,$0.00M
The Hurricane Heist,(2018),"
Action, Adventure, Crime            ",5.1,"
Thieves attempt a massive heist against the U.S. Treasury as a Category 5 hurricane approaches one of its Mint facilities.","
    Director:
Rob Cohen
| 
    Stars:
Toby Kebbell, 
Maggie Grace, 
Ryan Kwanten, 
Ralph Ineson
","19,776",103.0,$6.12M
Flight 7500,(2014),"
Drama, Horror, Sci-Fi            ",4.8,"
Flight 7500 departs Los Angeles International Airport bound for Tokyo. As the overnight flight makes its way over the Pacific Ocean during its ten-hour course, the passengers encounter what appears to be a supernatural force in the cabin.","
    Director:
Takashi Shimizu
| 
    Stars:
Leslie Bibb, 
Ryan Kwanten, 
Amy Smart, 
Jamie Chung
","15,349",80.0,
Crime Scene: The Vanishing at the Cecil Hotel,(2021),"
Documentary, Crime, Mystery            ",5.9,"
College student and tourist Elisa Lam vanishes, leaving behind all of her possessions in her hotel room. The Cecil Hotel grows in infamy.","
            
    Stars:
Tim Marcia, 
Amy Price, 
Josh Dean, 
Greg Kading
","15,072",219.0,
En affære,(2018),"
Drama, Thriller            ",5.5,"
A newly appointed teacher finds herself being followed, and soon discovers that one of her own students is obsessed with her.","
    Director:
Henrik Martin Dahlsbakken
| 
    Stars:
Andrea Bræin Hovig, 
Tarjei Sandvik Moe, 
Carsten Bjørnlund, 
Anneke von der Lippe
","1,682",92.0,
Coffee & Kareem,(2020),"
Action, Comedy, Crime            ",5.1,"
Twelve-year-old Kareem Manning hires a criminal to scare his mom's new boyfriend -police officer James Coffee - but it backfires, forcing Coffee and Kareem to team up in order to save themselves from Detroit's most ruthless drug kingpin.","
    Director:
Michael Dowse
| 
    Stars:
Ed Helms, 
Taraji P. Henson, 
Terrence Little Gardenhigh, 
Betty Gilpin
","12,524",88.0,
Looking Glass,(I) (2018),"
Mystery, Thriller            ",4.6,"
A couple buy a desert motel where they find that strange, mysterious events occur.","
    Director:
Tim Hunter
| 
    Stars:
Nicolas Cage, 
Robin Tunney, 
Marc Blucas, 
Ernie Lively
","6,155",103.0,
The Debt Collector,(2018),"
Action, Comedy            ",5.8,"
A classically-trained martial artist goes to work as a mob debt collector. The job seems easy enough, until a client drags him into a situation deeper than could ever be anticipated.","
    Director:
Jesse V. Johnson
| 
    Stars:
Scott Adkins, 
Louis Mandylor, 
Vladimir Kulich, 
Tony Todd
","6,619",95.0,
