MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
 Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",9.1,"
Aang relives the events after finding out that he is the Avatar 100 years ago and tells them to Katara, while Iroh tells the story of Zuko's scar and banishment to the crew.","
    Director:
Lauren MacMullan
| 
    Stars:
Zach Tyler, 
Mae Whitman, 
Jack De Sena, 
Dante Basco
","3,555",25.0,
 Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",9.1,"
Aang receives guidance from Guru Pathik at the Eastern Air Temple; Sokka is reunited with his long-lost father; Princess Azula has something diabolical in store for her enemies; Uncle and Zuko run their own tea shop.","
    Director:
Giancarlo Volpe
| 
    Stars:
Zach Tyler, 
Mae Whitman, 
Jack De Sena, 
Michaela Jill Murphy
","3,068",25.0,
 Bleach: Burîchi,(2004–2012),"
Animation, Action, Adventure            ",9.1,"
Byakuya Kuchiki may have been impressed by the power exerted by Ichigo, the substitute Shinigami, but he's not done fighting yet.","
    Directors:
Noriyuki Abe, 
Kumi Ichiguchi
| 
    Stars:
Masakazu Morita, 
Noriaki Sugiyama, 
Hiroki Yasumoto, 
Yuki Matsuoka
",213,24.0,
 Bleach: Burîchi,(2004–2012),"
Animation, Action, Adventure            ",9.1,"
Rukia's execution begins as Ichigo and the others are rushing to Sookyoku Hill in an attempt to stop the ceremony.","
    Directors:
Noriyuki Abe, 
Kumi Ichiguchi
| 
    Stars:
Masakazu Morita, 
Fumiko Orikasa, 
Noriaki Sugiyama, 
Hiroki Yasumoto
",215,25.0,
 Dexter,(2006–2013),"
Crime, Drama, Mystery            ",9.2,"
The Ice Truck Killer leaves Dexter the most horrifying crime scene imaginable, forcing him to confront a horrific suppressed memory from his past; Rita must hire a lawyer when her ex sues for sole custody of their children.","
    Director:
Michael Cuesta
| 
    Stars:
Michael C. Hall, 
Julie Benz, 
Jennifer Carpenter, 
Erik King
","5,255",56.0,
 Dexter,(2006–2013),"
Crime, Drama, Mystery            ",9.3,"
The Ice Truck Killer kidnaps someone close to Dexter, forcing him into a trap that will forever change his life, while Doakes begins to harbor suspicions about Dexter's odd behavior.","
    Director:
Keith Gordon
| 
    Stars:
Michael C. Hall, 
Julie Benz, 
Jennifer Carpenter, 
Erik King
","5,369",54.0,
 Dexter,(2006–2013),"
Crime, Drama, Mystery            ",9.6,"
In the Season One finale, Dexter follows the clues left for him by the Ice Truck Killer in an effort to rescue his kidnapped loved one, while Rita's ex tries to convince her that Dexter is too dangerous to be around their children.","
    Director:
Michael Cuesta
| 
    Stars:
Michael C. Hall, 
Julie Benz, 
Jennifer Carpenter, 
Erik King
","8,434",56.0,
 Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",9.1,"
The Avatar gang encounters Jet in Ba Sing Se and he helps them to discover the location of Appa. But they will end up discovering something else, a secret of the city.","
    Director:
Lauren MacMullan
| 
    Stars:
Zach Tyler, 
Mae Whitman, 
Jack De Sena, 
Michaela Jill Murphy
","3,049",25.0,
 Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",9.2,"
Creepy things are afoot when the gang meets a mysterious old innkeeper with a secret.","
    Director:
Joaquim Dos Santos
| 
    Stars:
Zach Tyler, 
Mae Whitman, 
Jack De Sena, 
Michaela Jill Murphy
","3,426",25.0,
 Élite,(2018– ),"
Crime, Drama, Thriller            ",9.1,"
The events that transpired the night of the murder unfold. The police interview several eyewitnesses who are ready to point fingers.","
    Director:
Dani de la Orden
| 
    Stars:
Itzan Escamilla, 
Miguel Bernardeau, 
Álvaro Rico, 
Arón Piper
","1,603",51.0,
 Mighty Little Bheem,(2019– ),"
Animation, Short, Adventure            ",9.1,"
An innocent toddler's boundless curiosity - and extraordinary might - lead to mischief and adventure in his small Indian town.","
    Directors:
Rajiv Chilaka, 
Krishna Mohan Chintapatla
",9,,
 Dexter,(2006–2013),"
Crime, Drama, Mystery            ",9.2,"
In the Season Two finale, Lundy and the FBI finally settle the case of the Bay Harbor Butcher, but the heat's not entirely off Dexter as his world literally becomes an inferno. Can he rise from the ashes once again?","
    Director:
Steve Shill
| 
    Stars:
Michael C. Hall, 
Julie Benz, 
Jennifer Carpenter, 
Erik King
","5,115",51.0,
 Dexter,(2006–2013),"
Crime, Drama, Mystery            ",9.1,"
Dexter decides that Lila is becoming too attached, decides ""recovery"" isn't working for him, and pays another visit to his mother's killer; Debra and Lundy find a clue that points to the ""Bay Harbor Butcher"" being right under their noses.","
    Director:
Keith Gordon
| 
    Stars:
Michael C. Hall, 
Julie Benz, 
Jennifer Carpenter, 
Erik King
","4,362",49.0,
 Dexter,(2006–2013),"
Crime, Drama, Mystery            ",9.4,"
Dexter tries to distance himself from Lila, but discovers she is unwilling to let go of their relationship; Lundy's manhunt makes Dexter nervous as he tries to stay one step ahead - but it's Dexter's worst enemy that learns his secret.","
    Director:
Marcos Siega
| 
    Stars:
Michael C. Hall, 
Julie Benz, 
Jennifer Carpenter, 
Erik King
","4,870",50.0,
 Pose,(2018–2021),"
Drama            ",9.2,"
After a medical set back, Blanca struggles to reassemble the House of Evangelista. Meanwhile, Pray Tell confronts old traumas when an exciting new category is proposed.","
    Director:
Janet Mock
| 
    Stars:
Michaela Jaé (MJ) Rodriguez, 
Billy Porter, 
Dominique Jackson, 
Indya Moore
",651,68.0,
 Mighty Little Bheem,(2019– ),"
Animation, Short, Adventure            ",9.3,"
Add a Plot
","
    Directors:
Rajiv Chilaka, 
Krishna Mohan Chintapatla
",7,,
 Mighty Little Bheem,(2019– ),"
Animation, Short, Adventure            ",9.4,"
Add a Plot
","
    Directors:
Rajiv Chilaka, 
Krishna Mohan Chintapatla
",8,,
 Cobra Kai,(2018– ),"
Action, Comedy, Drama            ",9.2,"
In Okinawa, Daniel spends time with an old friend - and an old enemy, who has much to teach him. The dueling dojos' rivalry comes to a nasty head.","
    Director:
Steven K. Tsuchida
| 
    Stars:
Ralph Macchio, 
William Zabka, 
Courtney Henggeler, 
Xolo Maridueña
","3,216",39.0,
 Cobra Kai,(2018– ),"
Action, Comedy, Drama            ",9.5,"
Old wounds begin to heal at a country club Christmas party, but a brutal assault by Kreese's students leads to new betrayals and alliances.","
    Director:
Josh Heald
| 
    Stars:
Ralph Macchio, 
William Zabka, 
Courtney Henggeler, 
Xolo Maridueña
","4,554",41.0,
 Anne,(2017–2019),"
Drama, Family            ",9.2,"
The students sit for the Queens entrance exams.","
    Director:
Amanda Tapping
| 
    Stars:
Amybeth McNulty, 
Geraldine James, 
R.H. Thomson, 
Dalila Bela
","1,524",44.0,
 Final Space,(2018– ),"
Animation, Action, Adventure            ",9.2,"
With the dimensional keys recovered, the crew travel to Inner Space where they finally try to free Bolo.","
    Director:
Ben Bjelajac
| 
    Stars:
Fred Armisen, 
Ashly Burch, 
Ron Funches, 
Tom Kenny
",806,21.0,
 Dark,(2017–2020),"
Crime, Drama, Mystery            ",9.2,"
In 1954, a missing Helge returns, but he'll only speak to Noah. In 1987, Claudia brings the time machine to Tannhaus, and Egon questions Ulrich again.","
    Director:
Baran bo Odar
| 
    Stars:
Tom Philipp, 
Mark Waschke, 
Luise Heyer, 
Antje Traue
","10,279",56.0,
 Dark,(2017–2020),"
Crime, Drama, Mystery            ",9.5,"
Jonas meets an ominous figure. While the kids comb the cave for answers, the adults gather in the bunker to share what they know about the travelers.","
    Director:
Baran bo Odar
| 
    Stars:
Louis Hofmann, 
Helena Pieske, 
Lisa Vicari, 
Sylvester Groth
","11,202",60.0,
 Dark,(2017–2020),"
Crime, Drama, Mystery            ",9.3,"
In 1987, Ulrich seizes an opportunity. The kids return to the cave with the time machine, and Jonas learns of a loophole that could change the future.","
    Director:
Baran bo Odar
| 
    Stars:
Lisa Vicari, 
Andreas Pietschmann, 
Louis Hofmann, 
Dietrich Hollinderbäumer
","10,274",56.0,
 Dark,(2017–2020),"
Crime, Drama, Mystery            ",9.6,"
Armed with a plan to prevent the apocalypse, Jonas travels to 2019. During the Nielsens' anniversary party, Ulrich sneaks off with Hannah.","
    Director:
Baran bo Odar
| 
    Stars:
Louis Hofmann, 
Sebastian Rudolph, 
Maja Schöne, 
Lisa Vicari
","12,621",54.0,
 Dark,(2017–2020),"
Crime, Drama, Mystery            ",9.3,"
Martha meets the Stranger and learns his true identity. Claudia tries to prevent Egon's death in 1987. Hannah travels to 1954 to see Ulrich.","
    Director:
Baran bo Odar
| 
    Stars:
Dietrich Hollinderbäumer, 
Lisa Vicari, 
Andreas Pietschmann, 
Maja Schöne
","10,209",58.0,
 Dark,(2017–2020),"
Crime, Drama, Mystery            ",9.5,"
On the day of the apocalypse, Clausen executes a search warrant at the power plant as Jonas and Claudia use the time machine to connect past and future.","
    Director:
Baran bo Odar
| 
    Stars:
Sandra Borgmann, 
Karoline Eichhorn, 
Carlotta von Falkenhayn, 
Stephan Kampwirth
","12,762",57.0,
 Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",9.7,"
As the Fire Nation continues its assault on the Northern Water Tribe, Sokka, Katara and Yue set out on a search for Aang, being guided by his spirit.","
    Director:
Dave Filoni
| 
    Stars:
Zach Tyler, 
Mae Whitman, 
Jack De Sena, 
Dante Basco
","2,770",24.0,
 The End of the F***ing World,(2017–2019),"
Adventure, Comedy, Crime            ",9.1,"
After discovering Bonnie's true intentions, James races to help Alyssa, and a tense showdown unfolds inside the café.","
    Director:
Destiny Ekaragha
| 
    Stars:
Jessica Barden, 
Alex Lawther, 
Naomi Ackie, 
Divian Ladwa
","2,910",24.0,
 Rick and Morty,(2013– ),"
Animation, Adventure, Comedy            ",9.5,"
Rick & Morty go on a simple exchange as Rick tells Morty if something goes wrong jump into the same vat of acid as he does.","
    Directors:
Wesley Archer, 
Jacob Hair
| 
    Stars:
Justin Roiland, 
Chris Parnell, 
Spencer Grammer, 
Sarah Chalke
","10,874",22.0,
 Rick and Morty,(2013– ),"
Animation, Adventure, Comedy            ",9.2,"
An adventure with an invisibility belt, but a family that disappears together, must stay together.","
    Directors:
Wesley Archer, 
Erica Hayes
| 
    Stars:
Justin Roiland, 
Chris Parnell, 
Spencer Grammer, 
Sarah Chalke
","7,832",22.0,
 Queer Eye,(2018– ),"
Reality-TV            ",9.2,"
A former bad boy who turned his life around after becoming paralyzed gets a wheelchair-accessible home and a new image to match his positive outlook.","
    Director:
Hisham Abed
",385,,
 Queer Eye,(2018– ),"
Reality-TV            ",9.2,"
The Fab Five help a kind but lonely bachelor find unconditional love and get his dusty home ready for visitors, the first guests he's had in years.","
    Director:
Hisham Abed
",284,,
 The Last Kingdom,(2015– ),"
Action, Drama, History            ",9.1,"
Uhtred suffers a great loss on his attack on Bebbanburg. As he retreats south, he takes some valuable captives. Aethelflaed prepares for war.","
    Director:
Sarah O'Gorman
| 
    Stars:
Joseph Millson, 
Alexander Dreymon, 
Arnas Fedaravicius, 
Finn Elliot
","1,972",54.0,
 Anne,(2017–2019),"
Drama, Family            ",9.1,"
The Cuthberts gain a new perspective on Prince Edward Island","
    Director:
Norma Bailey
| 
    Stars:
Amybeth McNulty, 
Geraldine James, 
R.H. Thomson, 
Lucas Jade Zumann
","1,475",44.0,
 The 100,(2014–2020),"
Drama, Mystery, Sci-Fi            ",9.2,"
Clarke confronts a new adversary. A surprising connection takes us back to the past and the nuclear apocalypse that destroyed the Earth.","
    Director:
Ed Fraiman
| 
    Stars:
Eliza Taylor, 
Bob Morley, 
Marie Avgeropoulos, 
Lindsey Morgan
","3,219",41.0,
 Julie and the Phantoms,(2020– ),"
Comedy, Drama, Family            ",9.1,"
Julie rehearses with Nick - while daydreaming about Luke. Alex wonders why Willie's been acting so weird. The band plays a party at Julie's house.","
    Director:
Kabir Akhtar
| 
    Stars:
Madison Reyes, 
Charlie Gillespie, 
Owen Joyner, 
Jeremy Shada
",429,27.0,
 Julie and the Phantoms,(2020– ),"
Comedy, Drama, Family            ",9.4,"
Julie meets Luke's parents and shares a touching song he wrote. Luke confides in Julie about Caleb and the band's ""unfinished business.""","
    Director:
Kabir Akhtar
| 
    Stars:
Madison Reyes, 
Charlie Gillespie, 
Owen Joyner, 
Jeremy Shada
",489,24.0,
 Julie and the Phantoms,(2020– ),"
Comedy, Drama, Family            ",9.4,"
Julie and the Phantoms get their dream gig at the Orpheum. But when Caleb interferes, Julie searches for the courage to perform on her own.","
    Director:
Kenny Ortega
| 
    Stars:
Madison Reyes, 
Charlie Gillespie, 
Owen Joyner, 
Jeremy Shada
",451,35.0,
 Anne,(2017–2019),"
Drama, Family            ",9.1,"
Ka'kwet travels to school, while Anne embarks on the next phase of her quest.","
    Director:
Norma Bailey
| 
    Stars:
Amybeth McNulty, 
Geraldine James, 
R.H. Thomson, 
Dalila Bela
","1,477",44.0,
 Anne,(2017–2019),"
Drama, Family            ",9.2,"
Matthew and Anne journey to help Ka'kwet.","
    Director:
Paul Fox
| 
    Stars:
Amybeth McNulty, 
Geraldine James, 
R.H. Thomson, 
Dalmar Abuzeid
","1,499",44.0,
 My Next Guest Needs No Introduction with David Letterman,(2018– ),"
Talk-Show            ",9.1,"
""King of Bollywood"" Shah Rukh Khan opens up about his rise to fame, his family and his billions of fans as he and Dave meet up in Mumbai and New York.","
            
    Stars:
Shah Rukh Khan, 
David Letterman
","1,222",61.0,
 BoJack Horseman,(2014–2020),"
Animation, Comedy, Drama            ",9.1,"
Todd organizes a surprise wedding for Pickles and Mr. Peanutbutter, but the party quickly goes off the rails when Mr. Peanutbutter makes a confession.","
    Director:
Adam Parton
| 
    Stars:
Will Arnett, 
Amy Sedaris, 
Alison Brie, 
Paul F. Tompkins
","2,741",26.0,
 BoJack Horseman,(2014–2020),"
Animation, Comedy, Drama            ",9.4,"
BoJack travels around the country reconnecting with loved ones, while Mr. Peanutbutter embarks on his own national tour as the face of depression.","
    Director:
Aaron Long
| 
    Stars:
Will Arnett, 
Amy Sedaris, 
Alison Brie, 
Paul F. Tompkins
","3,289",27.0,
 BoJack Horseman,(2014–2020),"
Animation, Comedy, Drama            ",9.3,"
After the Sarah Lynn story breaks, BoJack gives a live interview on TV. Diane meets Guy's teenage son.","
    Director:
Aaron Long
| 
    Stars:
Will Arnett, 
Amy Sedaris, 
Alison Brie, 
Paul F. Tompkins
","2,578",26.0,
 BoJack Horseman,(2014–2020),"
Animation, Comedy, Drama            ",9.9,"
BoJack reconnects with faces from his past.","
    Director:
Amy Winfrey
| 
    Stars:
Will Arnett, 
Amy Sedaris, 
Alison Brie, 
Paul F. Tompkins
","12,369",26.0,
 BoJack Horseman,(2014–2020),"
Animation, Comedy, Drama            ",9.6,"
A celebration brings people together.","
    Director:
Aaron Long
| 
    Stars:
Will Arnett, 
Amy Sedaris, 
Alison Brie, 
Paul F. Tompkins
","4,910",27.0,
 Anne,(2017–2019),"
Drama, Family            ",9.4,"
As Easter approaches, Mary's illness brings change to Avonlea.","
    Director:
Anne Wheeler
| 
    Stars:
Amybeth McNulty, 
Geraldine James, 
R.H. Thomson, 
Cara Ricketts
","1,761",44.0,
 Anne,(2017–2019),"
Drama, Family            ",9.2,"
A dance rehearsal generates sparks (and tension).","
    Director:
Paul Fox
| 
    Stars:
Amybeth McNulty, 
Geraldine James, 
R.H. Thomson, 
Dalila Bela
","1,556",44.0,
 Anne,(2017–2019),"
Drama, Family            ",9.3,"
Anne rallies the town to speak out against injustice.","
    Director:
Paul Fox
| 
    Stars:
Amybeth McNulty, 
Geraldine James, 
R.H. Thomson, 
Dalila Bela
","1,611",44.0,
 The Last Kingdom,(2015– ),"
Action, Drama, History            ",9.4,"
Aethelflaed and Uhtred ally with the Welsh king Hywel to face Cnut's army of a thousand warriors at the Battle of Tettenhall, hoping that they will be joined by Edward's troops.","
    Director:
Sarah O'Gorman
| 
    Stars:
Cavan Clerkin, 
Craig Russell, 
Alexander Dreymon, 
Finn Elliot
","2,105",51.0,
 Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",9.5,"
Both Aang and Zuko must learn the history of how the war began. Zuko learns a secret about his great-grandfather's past.","
    Director:
Ethan Spaulding
| 
    Stars:
Zach Tyler, 
Mae Whitman, 
Jack De Sena, 
Michaela Jill Murphy
","3,779",25.0,
 Anne,(2017–2019),"
Drama, Family            ",9.6,"
Anne steps into the next chapter of her life.","
    Director:
Amanda Tapping
| 
    Stars:
Amybeth McNulty, 
Geraldine James, 
R.H. Thomson, 
Lucas Jade Zumann
","2,178",44.0,
 The Dragon Prince,(2018– ),"
Animation, Adventure, Drama            ",9.1,"
As Team Zym begins the steep climb up to the Dragon Queen's lair, Viren and Aaravos play a nasty trick on the sunfire elves.","
    Director:
Villads Spangsberg
| 
    Stars:
Rena Anakwe, 
Racquel Belmonte, 
Paula Burrows, 
Ian James Corlett
",457,,
 The Dragon Prince,(2018– ),"
Animation, Adventure, Drama            ",9.2,"
With Viren's glowing army closing in on the Storm Spire, Rayla, Callum and friends must decide whether to flee to safety or stay and fight.","
    Director:
Villads Spangsberg
| 
    Stars:
Rena Anakwe, 
Racquel Belmonte, 
Paula Burrows, 
Ian James Corlett
",479,,
 She-Ra and the Princesses of Power,(2018–2020),"
Animation, Action, Adventure            ",9.3,"
Razz confuses the past and the present and has trouble telling Mara and Adora apart. But Adora desperately needs her help.","
    Director:
Mandy Clotworthy
| 
    Stars:
Aimee Carrero, 
Marcus Scribner, 
Zehra Fazal, 
Morla Gorrondona
","1,067",24.0,
 She-Ra and the Princesses of Power,(2018–2020),"
Animation, Action, Adventure            ",9.2,"
Catra and Hordak fight one another as Glimmer and Scorpia arrive in the Fright Zone. Adora sets off in a last-ditch attempt to stop Light Hope's plan.","
    Director:
Christina Manrique
| 
    Stars:
Aimee Carrero, 
Karen Fukuhara, 
AJ Michalka, 
Marcus Scribner
","1,006",24.0,
 The Dragon Prince,(2018– ),"
Animation, Adventure, Drama            ",9.6,"
The human alliance led by King Viren start an assault on the dragon's lair, the surviving Sunfire elves are determined to protect the dragon prince at all cost. Unexpected allies will rise on the battle for Xadia.","
    Director:
Villads Spangsberg
| 
    Stars:
Rena Anakwe, 
Racquel Belmonte, 
Paula Burrows, 
Ian James Corlett
",727,,
 Lucifer,(2016–2021),"
Crime, Drama, Fantasy            ",9.1,"
As a shocking side effect of his romance with Chloe throws Lucifer for a loop, the new couple pursues a murderer with a most unusual M.O.","
    Director:
Nathan Hope
| 
    Stars:
Tom Ellis, 
Lauren German, 
Kevin Alejandro, 
D.B. Woodside
","3,267",55.0,
 Lucifer,(2016–2021),"
Crime, Drama, Fantasy            ",9.4,"
Chloe learns a serial killer may have embellished his crimes. Amenadiel worries about his son's health. Pete opens up to Ella.","
    Director:
Kevin Alejandro
| 
    Stars:
Tom Ellis, 
Lauren German, 
Kevin Alejandro, 
D.B. Woodside
","4,612",61.0,
 The Umbrella Academy,(2019– ),"
Action, Adventure, Comedy            ",9.1,"
Reeling from the events at Dealey Plaza, the siblings head to the farm to help save Harlan - only to find themselves drawn into a deadly showdown.","
    Director:
Jeremy Webb
| 
    Stars:
Elliot Page, 
Tom Hopper, 
David Castañeda, 
Emmy Raver-Lampman
","3,928",49.0,
 Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",9.5,"
The invasion seems to be succeeding until Aang learns that their arrival was anticipated. Zuko confronts his father.","
    Director:
Joaquim Dos Santos
| 
    Stars:
Zach Tyler, 
Mae Whitman, 
Jack De Sena, 
Michaela Jill Murphy
","3,275",47.0,
